0x612172d91d5935d1cec07249ed92109816815986.sol,0.5.0,Fleek
0x1ca9e79fe11375796fbe56057a58c8d1429246ef.sol,0.4.24,ChelleCoin
0x2b7a7afe445a8b83310c424f28c1d0c96a94f7f6.sol,0.5.0,Rhea
0x3310f5acb5df71da3b15a27230122bfbf3f7b9a0.sol,0.5.0,PatexShares
0x9876b4f94e6035304bf792375c53136be158c3d8.sol,0.4.26,BancorConverterRegistry
0x5938c6e652de27089297517c9344bc66e9d7a85b.sol,0.4.16,TokenERC20
0x5ef7634582ad5d5b86eab4c719ea8e58d1a3789a.sol,0.5.0,ETE
0x73fce158aa84d2584096d23d4eb5721c5b08781d.sol,0.5.16,PolkaCoin
0xa612f9e9ba5e3b57b0d64de4bdfccd36e08f3e6a.sol,0.5.16,StableAMM
0x850071a17ca0ad917f6b018066193dda23419748.sol,0.4.19,ERC20Token
