solidity,solc,contract
0x3c2168de4386a100aedb89b0213e5f8aac6b956c.sol,0.4.24,ForeignBridgeFactory
0x628Ac7C9742a52931486b9af6e54db4511FeFE42.sol,0.6.6,AccessControlledAggregator
0x73f76fb521799305111d6846f03fce037a9f350d.sol,0.4.18,JJKcoin
0x149e42662e99330889664eee7b474d9eedc40a12.sol,0.5.15,ERC20Token
0x79F9ADfBe1bcFfDfE113019602D823C4c47BB30e.sol,0.5.0,MB
0x9ce9b5445fb3333b5c50b2899b374cd6aab1f7ee.sol,0.4.26,EINSTEIN
0x19b57d7e23fa2753261cadae7b5287d17bb83033.sol,0.5.0,MetricsGroup
0x63d0b16a7ba54ea173c1d2eae9b701c146d86caf.sol,0.4.24,FILF
0x78aee0fb519ec6f8f79b721e5b402cf653dfaa62.sol,0.4.26,EParadise
0x4cb52705daebc2d68b7dfd48a960bc249c035f9a.sol,0.5.11,ErazerToken
0xb256fdd544e7a4edcdaf803c80ef667a92b5b11d.sol,0.4.21,BCCToken
0x3117dc163461dabd03289e02bc47cc19fe47190b.sol,0.5.0,Staking
0xb51f64a297122d44822fcceecea3ae63b98f4297.sol,0.4.16,AIB
0x5b05dd24fdf2ff814d691c87c15be93c941cd558.sol,0.5.0,ERC20Token
0x7cdf69e2eddac410a652bb51cf428d97ca406d8e.sol,0.4.23,MainToken
0x70e7f1ada9414640c701b49ccd78feffc8f8a571.sol,0.4.24,Verpol
0xa33627d267892ecf4bfe64bc93f73d6aa18f6d99.sol,0.4.17,TetherToken
0x7163b91c325BD05BEDe113c4Cb8e31A12C789B7d.sol,0.4.17,TetherToken
0x6884a495E0961FD509350D20bC7059516fAC7CE5.sol,0.4.23,MainToken
0xa898af554d84e8467845825c38806f84bc9e231f.sol,0.4.19,HLC
0x8bd340320af90df3b66043887a57059bb856da5b.sol,0.5.2,MxnToken
0x6f10960a8513f1178755e8e24fbfca0fdc674dad.sol,0.4.26,FOSS
0x20302a4b03bff8bdaff0d2e3884cab695c6fa8ef.sol,0.4.23,MainToken
0x56288db47a268810fa49a505044919af82e9088a.sol,0.5.10,JTC
0x4e88e93b01007e92e617aeb60771249e76c2c0b2.sol,0.4.24,FucksToken
0x2b6695a4a36f388980c559137135fb2906d6f20f.sol,0.4.24,Berry
0x1468279ED9EC554E836a954897Ebddc4E366a10f.sol,0.4.17,TetherToken
0x28EE842FAb8e79E85867752A622Fe3Dbc658fc33.sol,0.5.8,PointKRW
0x408574d2615694bb6d6957db749e2b2f571b38c6.sol,0.4.24,HKExCoin2
0x7149d21e781a891df0dd29d2abcd95380122ba45.sol,0.4.24,CYP
0xb25097941cf568160bb16a7d41e005ad72018088.sol,0.5.0,Xbrl
0x38fc8d7e9429b42371372a0f08e6f060a0ed54b7.sol,0.5.0,HagiBis
0x5dbff1e8ebdbdcbced49335da4b19e9f7d9bb9f6.sol,0.5.0,Staking
0xb6da0d9064a38faa054e9ecd44f09b4b41691f7b.sol,0.4.24,ZhengHeTOKEN
0x96af491b0a4203b2f1e0b72d94c4395702e42508.sol,0.5.0,etfToken
0x61806745537cbff07dc15085ac06f2ccb9547845.sol,0.5.4,PAIIK
0xb7605bdbe8206f0817a5f1413413d4944a4f1ea1.sol,0.4.24,StandardToken
0x797be12a4d10033fe1964f2be59a7c7b7a5a932b.sol,0.4.24,BTC3L
0x4ca91f13fdb0ce461d5b09b74f3094652688043b.sol,0.5.16,KEPENG
0x1f0bb7eba2984e62eb49f019709f36014744442c.sol,0.4.24,Theo
0xa9303976884a5ecbed0e771243b36547542f86a2.sol,0.4.20,BebPos
0x6195Fc2b3C2ccB00F0A4A2504bdfB8EA1376aeC4.sol,0.6.11,ERC20
0x4bd01086859265d7c32cb2b921d79e75eb1b9116.sol,0.4.26,HKD
0x453abb8b59e5609beb523d2459d4f16a548dfb4a.sol,0.5.7,GoldenCoinP
0x0c55c364d30be315c44c8b911d769c9530016937.sol,0.5.7,Spas157Coin
0x2865d36470c2ab547c7d2024e211dcdc6e542e60.sol,0.4.18,Avalon
0xa869d7a09c6d5ef7ddba11529e26c6dd7480c6d4.sol,0.4.24,MOJOCRYPTO
0x2f18b5d67a60e49fe52528a602f489a232446d94.sol,0.5.0,Staking
0x7370deef84c4704f7549f8a71ae41569a21efe48.sol,0.4.24,Leaf
0x6736077ae034e16f7fafd2d5ed1358370fda1f88.sol,0.4.19,PHEToken
0x9d52fd110a3405f7475a4d7e90b83cc4f1a51c4a.sol,0.5.0,ERC20
0x4f1a6ded6159d06ea803b8b611c54ad8e2841455.sol,0.5.0,Creationism
0x80d5ad7bbf5f45017c9c432fa25900b8ea6bec61.sol,0.5.15,JasmyCoin
0xb2b9d7ba7b7e5fb4e51a8bac83fd43e90c947dc5.sol,0.4.24,AmpleforthWrapper
0x6577adb85e955ef28cfb2a02ec1826a6e5923e8a.sol,0.5.0,LockupStorage
0x441e2c4eb49c00f835b9d2de1aa59f27b69f949f.sol,0.5.10,BytecoinBlack_ERC20
0x66531cb9ad8edaa4515782b4b7dab5c7f6867ad4.sol,0.5.0,SimpleToken
0x8dc6ed015579167d181e86ae9c324943c7360d7f.sol,0.4.26,XanPool
0x64a3e8ce76904818559ce0ad2bc227e3d83d19e8.sol,0.4.24,pas
0x89ddcbc074ab765737322948f269edf0b20d13d2.sol,0.5.12,ExchangerToken
0x97559da69198ef6b6ab7852699df3ba1bb004146.sol,0.5.0,DOSPayment
0x7e9f9f3b323582584526d9f83276338c89f8fbe7.sol,0.5.0,KTYtoken
0x501a9842a994ec2234e54321743d9d7c3ffc708d.sol,0.5.16,TetherMoney
0xab4a12ae82497159f90af30a4c2b1143700c7125.sol,0.4.24,ZhengHeToKEN
0xab0cae983e07c0614a06d08b43e00814365cceea.sol,0.5.0,SSITToken
0x449c5c00ba3d28c9bed71c9022a1c227105f46ea.sol,0.4.26,EBitcoin
0x023cf1D6b14846c9C12Eb60e91d61855a31F9835.sol,0.4.24,HolonToken
0x5d8c0f983bb1814c2b081d9f2109c73d5c5291fc.sol,0.4.18,OceanDex
0x64f64a26873ffbd11188679fb85fe00b6a2dde27.sol,0.4.24,LtconlineToken
0x2d08ade361b43f89e4da90f589cb80555c3191b4.sol,0.5.11,CMT
0x6443589eee45dabdcf7c5ceb5e4375b6d786357d.sol,0.4.23,MainToken
0x43533cc6ac1286be6b9bca90114758b25d28f8a1.sol,0.5.16,PolkaCOINFinace
0xb2840dfc364fbe44ce5022168521f9745285e5a3.sol,0.4.24,AYC
0x56cd932860d35386f5619cbc59b51375b1d8c078.sol,0.4.24,InvestecToken
0xa17ebd0b1496091221799dec42ff12ecf7bfb248.sol,0.5.16,StableAMM
0x928ba5fca6929bc2479a4ba19150b7693743296d.sol,0.4.24,IVEToken
0x79681fdfeade515d671b4ab8ebcf4671784c29be.sol,0.5.0,PdraToken
0x61607359ea46ebfbd6062ea52d06ea3b8f8be768.sol,0.4.25,ReiToken
0x7bA9c52453d2520E1484F99AE5B2e800cD781aa5.sol,0.5.0,PropertyGroup
0x50eca9e5ed4865d25398c7f9516b04792e10d2cd.sol,0.4.24,Cykril
