solidity,solc,contract
HoloToken.sol,HoloToken,0.4.18
HoloToken_test_01.sol,HoloToken_test_01,0.4.18
HoloToken_test_02.sol,HoloToken_test_02,0.4.18
Crowdsale.sol,Crowdsale,0.4.25
0x2f47f03b03946b1fe11d841744217db881d4f531.sol,BulkSender,0.6.4
0x89f9749ce943281b8c65fec7f15e126f8cf4edb1.sol,DepositGame,0.4.25
0xa143fd004b3c26f8faedeb9224ec03585e63d041.sol,DharmaSpreadRegistryPrototypeStaging,0.5.11
0xce4763c7fa2e1238a398c0b07a9abf6472531d51.sol,BHT,0.4.26
0xd75b02dc969182fd9a8cbc4f12f3502c61802747.sol,EtherBoxLevels,0.5.13
0x60accbD43E9aAd281c1CDe56D3F5ed697B948b22.sol,sproof,0.5.9
0xed39480b5bcd7c123f374b3b37366f60bc5d50e1.sol,TimelockGovernance,0.5.16
0xc0ea83113038987d974fe667831a36e442e661e7.sol,LibfxToken,0.5.11
0xad638296f8348a9d72d5fbecd7b7d941d2889083.sol,EternalStorage,0.5.0
0x8382ADf670cb280F2f318bC2446be3860758aEF4.sol,GramChain,0.5.13
0x3422ac57f4ca097806fa234e44ec0a781b78bbdb.sol,YFVReferral,0.5.0
0x131f983da6fabf20869f5ace3516a23f28b46204.sol,Blacklist,0.5.2
0x46d52bace05457929e1cd84c9efcee0d2156555b.sol,SimpleWriteAccessController,0.6.0
0x7C6664bd7957eD63f8fbF635101A186741Ef14D4.sol,AdministratorMinter,0.5.0
0x4b205ad9e4a2669cf9428c1a5f72ca17976f0167.sol,MonetaGiftBox,0.6.6
0xbb86cd4c05c321015078433863fd203a61560fcb.sol,Gruppa_Istoricheskiy_Roman,0.5.0
HoloToken_test_03.sol,HoloToken_test_03,0.4.18
Crowdsale_rlf.sol,Crowdsale,0.4.25
Crowdsale_01.sol,Crowdsale,0.4.25
0xdb25ff2868cbc48856e44a2ae8e2f2b62f1f3b84.sol,BulkSender,0.6.4
0xe4ea2d60783fc54c3595bda39ac1ab6556723d38.sol,BHE,0.4.26
0x87c48b167bb02cc88487ce6dc12f5e56cd49676a.sol,TimelockGovernance,0.5.16
0x316Fe7d9610F56Aff59B8Db695dF625581Eb3B4A.sol,CYT,0.5.11
0x00111feeb7ee43e262ff38aaf912b72ea668edc3.sol,RipgaleToken,0.5.11
0x29d9ede1d2fac6fe3b19d6005a81540d094665a5.sol,Blacklist,0.5.2
0x4e8c0598ef8c3d44967bd4fa101c54939ab97d53.sol,Blacklist,0.5.2
0x283d2d5fa7ec80f00bfeeb370e1b8cbf7caba614.sol,YAMToken,0.5.11
